R,Soru,Model,K1,K2,K3,Toplam,K1_kaynak,K2_kaynak,K3_kaynak
R060,4,googlegemma-3-27b,4,3,3,10,uyum,uyum,uyum
R061,7,deepseekdeepseek-r1-distill-qwen-14b,4,0,0,4,uyum,uyum,uyum
R062,1,googlegemma-3-12b,4,3,2,9,uyum,uyum,uyum
R063,2,zai-orgglm-4.7-flash,4,3,2,9,uyum,uyum,uzlaşı
R064,5,mistralaiministral-3-8b-reasoning,4,1,2,7,uyum,uyum,uyum
R065,7,mistralaiministral-3-14b-reasoning,1,0,0,1,uzlaşı,uyum,uzlaşı
R066,2,googlegemma-3-27b,3,3,2,8,uyum,uyum,uzlaşı
R067,3,meta-llama-3.1-8b-instruct,1,0,0,1,uyum,uzlaşı,uyum
R068,3,mistralaiministral-3-3b-reasoning,1,0,1,2,uyum,uyum,uyum
R069,1,googlegemma-3-27b,0,0,1,1,uyum,uyum,uyum
R070,9,googlegemma-3-1b,0,0,0,0,uyum,uyum,uyum
R071,4,meta-llama-3.1-8b-instruct,1,0,1,2,uzlaşı,uzlaşı,uzlaşı
R072,2,googlegemma-3-270m,0,0,0,0,uyum,uyum,uyum
R073,7,googlegemma-3-270m,1,0,0,1,uyum,uyum,uyum
R074,4,googlegemma-3-1b,0,0,1,1,uzlaşı,uzlaşı,uzlaşı
R075,5,googlegemma-3-1b,0,0,0,0,uyum,uyum,uyum
R076,4,deepseekdeepseek-r1-0528-qwen3-8b,3,2,2,7,uyum,uzlaşı,uzlaşı
R077,7,googlegemma-3-12b,4,0,2,6,uyum,uyum,uyum
R078,8,mistralaiministral-3-8b-reasoning,0,1,2,3,uyum,uzlaşı,uzlaşı
R079,9,deepseekdeepseek-r1-distill-qwen-14b,2,2,2,6,uyum,uyum,uyum
R080,6,googlegemma-3-270m,0,0,0,0,uzlaşı,uzlaşı,uzlaşı
R081,2,mistralaiministral-3-3b-reasoning,0,0,0,0,uzlaşı,uyum,uyum
R082,5,googlegemma-3-12b,4,3,3,10,uyum,uyum,uyum
R083,6,googlegemma-3-27b,4,3,3,10,uyum,uyum,uzlaşı
R084,1,zai-orgglm-4.7-flash,0,1,1,2,uyum,uyum,uyum
R085,2,deepseekdeepseek-r1-distill-qwen-14b,0,0,0,0,uyum,uyum,uyum
R086,1,googlegemma-3-1b,0,1,0,1,uyum,uyum,uyum
R087,10,deepseekdeepseek-r1-0528-qwen3-8b,0,0,1,1,uyum,uyum,uyum
R088,9,zai-orgglm-4.7-flash,2,3,3,8,uyum,uzlaşı,uzlaşı
R089,3,googlegemma-3-27b,2,1,0,3,uzlaşı,uzlaşı,uzlaşı
R090,6,googlegemma-3-1b,0,0,0,0,uyum,uyum,uyum
R091,3,googlegemma-3-1b,0,0,0,0,uyum,uyum,uyum
R092,2,googlegemma-3-1b,1,1,0,2,uyum,uyum,uzlaşı
R093,10,googlefunctiongemma-270m,0,0,0,0,uzlaşı,uyum,uyum
R094,8,googlegemma-3-1b,0,1,1,2,uyum,uyum,uyum
R095,8,zai-orgglm-4.7-flash,0,1,2,3,uyum,uyum,uyum
R096,8,googlegemma-3-12b,0,2,1,3,uyum,uyum,uzlaşı
R097,6,meta-llama-3.1-8b-instruct,2,0,1,3,uzlaşı,uzlaşı,uzlaşı
R098,2,mistralaiministral-3-8b-reasoning,1,0,1,2,uyum,uyum,uyum
R099,7,meta-llama-3.1-8b-instruct,3,0,2,5,uzlaşı,uyum,uyum
R100,2,deepseekdeepseek-r1-0528-qwen3-8b,1,0,1,2,uyum,uyum,uyum
R101,5,googlegemma-3-270m,0,0,0,0,uyum,uyum,uyum
R102,3,deepseekdeepseek-r1-distill-qwen-14b,0,0,0,0,uyum,uyum,uyum
R103,4,googlegemma-3-12b,3,2,1,6,uyum,uyum,uzlaşı
R104,5,deepseekdeepseek-r1-distill-qwen-14b,4,3,3,10,uzlaşı,uzlaşı,uzlaşı
R105,1,deepseekdeepseek-r1-distill-qwen-14b,0,1,0,1,uyum,uzlaşı,uyum
R106,8,googlegemma-3-4b,0,2,2,4,uyum,uyum,uyum
R107,1,deepseekdeepseek-r1-0528-qwen3-8b,0,0,1,1,uyum,uyum,uyum
R108,10,zai-orgglm-4.7-flash,2,1,3,6,uyum,uzlaşı,uyum
R109,4,googlegemma-3-270m,0,0,0,0,uyum,uyum,uyum
R110,5,googlegemma-3-4b,0,0,0,0,uyum,uyum,uyum
R111,7,zai-orgglm-4.7-flash,4,0,3,7,uyum,uyum,uyum
R112,6,mistralaiministral-3-14b-reasoning,3,2,2,7,uzlaşı,uzlaşı,uzlaşı
R113,10,googlegemma-3-270m,2,1,2,5,uyum,uyum,uyum
R114,8,mistralaiministral-3-14b-reasoning,0,1,2,3,uyum,uyum,uyum
R115,9,mistralaiministral-3-14b-reasoning,2,1,2,5,uyum,uyum,uyum
R116,3,mistralaiministral-3-14b-reasoning,0,0,0,0,uyum,uyum,uyum
R117,7,mistralaiministral-3-3b-reasoning,1,0,0,1,uyum,uyum,uyum
R118,8,googlegemma-3-27b,0,2,2,4,uyum,uyum,uyum
R119,3,googlegemma-3-4b,1,0,0,1,uyum,uzlaşı,uzlaşı
R120,10,mistralaiministral-3-14b-reasoning,0,0,0,0,uyum,uyum,uzlaşı
R121,1,googlegemma-3-270m,0,0,0,0,uyum,uyum,uyum
R122,1,googlegemma-3-4b,0,1,0,1,uyum,uzlaşı,uyum
R123,9,googlegemma-3-4b,1,1,1,3,uyum,uyum,uyum
R124,6,googlegemma-3-4b,3,2,2,7,uzlaşı,uzlaşı,uzlaşı
R125,4,mistralaiministral-3-8b-reasoning,3,2,2,7,uyum,uyum,uyum
R126,6,googlefunctiongemma-270m,0,0,0,0,uzlaşı,uyum,uyum
R127,3,mistralaiministral-3-8b-reasoning,1,0,0,1,uyum,uzlaşı,uzlaşı
R128,4,googlefunctiongemma-270m,0,0,0,0,uyum,uyum,uyum
R129,1,meta-llama-3.1-8b-instruct,0,0,0,0,uyum,uzlaşı,uyum
R130,8,googlefunctiongemma-270m,0,0,0,0,uyum,uyum,uyum
