R_kodu,Soru,Model,Eslesme_guveni
R045,10,googlegemma-3-12b,1.0
R046,2,googlegemma-3-4b,1.0
R047,10,meta-llama-3.1-8b-instruct,1.0
R048,9,mistralaiministral-3-3b-reasoning,1.0
R049,9,deepseekdeepseek-r1-0528-qwen3-8b,1.0
R050,7,googlegemma-3-1b,1.0
R051,5,googlegemma-3-27b,1.0
R052,9,mistralaiministral-3-8b-reasoning,1.0
R053,5,zai-orgglm-4.7-flash,1.0
R054,7,googlegemma-3-27b,1.0
R055,9,googlegemma-3-270m,1.0
R056,2,mistralaiministral-3-14b-reasoning,1.0
R057,6,mistralaiministral-3-8b-reasoning,1.0
R058,10,googlegemma-3-4b,1.0
R059,4,mistralaiministral-3-14b-reasoning,1.0
R060,4,googlegemma-3-27b,1.0
R061,7,deepseekdeepseek-r1-distill-qwen-14b,1.0
R062,1,googlegemma-3-12b,1.0
R063,2,zai-orgglm-4.7-flash,0.726
R064,5,mistralaiministral-3-8b-reasoning,1.0
R065,7,mistralaiministral-3-14b-reasoning,1.0
R066,2,googlegemma-3-27b,1.0
R067,3,meta-llama-3.1-8b-instruct,1.0
R068,3,mistralaiministral-3-3b-reasoning,1.0
R069,1,googlegemma-3-27b,1.0
R070,9,googlegemma-3-1b,1.0
R071,4,meta-llama-3.1-8b-instruct,1.0
R072,2,googlegemma-3-270m,1.0
R073,7,googlegemma-3-270m,1.0
R074,4,googlegemma-3-1b,1.0
R075,5,googlegemma-3-1b,1.0
R076,4,deepseekdeepseek-r1-0528-qwen3-8b,1.0
R077,7,googlegemma-3-12b,1.0
R078,8,mistralaiministral-3-8b-reasoning,1.0
R079,9,deepseekdeepseek-r1-distill-qwen-14b,1.0
R080,6,googlegemma-3-270m,1.0
R081,2,mistralaiministral-3-3b-reasoning,1.0
R082,5,googlegemma-3-12b,1.0
R083,6,googlegemma-3-27b,1.0
R084,1,zai-orgglm-4.7-flash,0.431
R085,2,deepseekdeepseek-r1-distill-qwen-14b,1.0
R086,1,googlegemma-3-1b,1.0
R087,10,deepseekdeepseek-r1-0528-qwen3-8b,1.0
R088,9,zai-orgglm-4.7-flash,1.0
R089,3,googlegemma-3-27b,1.0
R090,6,googlegemma-3-1b,1.0
R091,3,googlegemma-3-1b,1.0
R092,2,googlegemma-3-1b,1.0
R093,10,googlefunctiongemma-270m,1.0
R094,8,googlegemma-3-1b,1.0
R095,8,zai-orgglm-4.7-flash,1.0
R096,8,googlegemma-3-12b,1.0
R097,6,meta-llama-3.1-8b-instruct,1.0
R098,2,mistralaiministral-3-8b-reasoning,1.0
R099,7,meta-llama-3.1-8b-instruct,1.0
R100,2,deepseekdeepseek-r1-0528-qwen3-8b,1.0
R101,5,googlegemma-3-270m,1.0
R102,3,deepseekdeepseek-r1-distill-qwen-14b,1.0
R103,4,googlegemma-3-12b,1.0
R104,5,deepseekdeepseek-r1-distill-qwen-14b,1.0
R105,1,deepseekdeepseek-r1-distill-qwen-14b,1.0
R106,8,googlegemma-3-4b,1.0
R107,1,deepseekdeepseek-r1-0528-qwen3-8b,1.0
R108,10,zai-orgglm-4.7-flash,1.0
R109,4,googlegemma-3-270m,1.0
R110,5,googlegemma-3-4b,1.0
R111,7,zai-orgglm-4.7-flash,1.0
R112,6,mistralaiministral-3-14b-reasoning,1.0
R113,10,googlegemma-3-270m,1.0
R114,8,mistralaiministral-3-14b-reasoning,1.0
R115,9,mistralaiministral-3-14b-reasoning,1.0
R116,3,mistralaiministral-3-14b-reasoning,1.0
R117,7,mistralaiministral-3-3b-reasoning,1.0
R118,8,googlegemma-3-27b,1.0
R119,3,googlegemma-3-4b,1.0
R120,10,mistralaiministral-3-14b-reasoning,1.0
R121,1,googlegemma-3-270m,1.0
R122,1,googlegemma-3-4b,1.0
R123,9,googlegemma-3-4b,1.0
R124,6,googlegemma-3-4b,1.0
R125,4,mistralaiministral-3-8b-reasoning,1.0
R126,6,googlefunctiongemma-270m,1.0
R127,3,mistralaiministral-3-8b-reasoning,1.0
R128,4,googlefunctiongemma-270m,1.0
R129,1,meta-llama-3.1-8b-instruct,1.0
R130,8,googlefunctiongemma-270m,1.0
